Job Title,Description,District,Work Mode
Desarrollador Full Stack Senior – Ecommerce (Magento),"Buscamos un Desarrollador Full Stack Senior con experiencia en Magento que garantice la operación, evolución y optimización de nuestro ecommerce. Será un socio técnico clave entre el equipo interno y la agencia, responsable de implementar y ajustar soluciones que aseguren un portal ágil, seguro y confiable, fortaleciendo la experiencia de compra y la presencia online de nuestras marcas.
Funciones:
Monitorear y garantizar el funcionamiento continuo del portal, previniendo caídas a partir del seguimiento de métricas claves de performance.
Atender y dar solución directa a problemas reportados por el equipo ecommerce.
Priorizar resolución de problemas técnicos y nuevos desarrollos de mejora en función al valor que agreguen al negocio.
Implementar modificaciones, personalizaciones y mejoras en Magento, tanto en frontend como backend.
Revisar y optimizar código existente para mejorar rendimiento, escalabilidad y seguridad.
Implementar nuevas funcionalidades, cambios en la interfaz y ajustes de backend solicitados por el equipo ecommerce.
Aplicar actualizaciones y parches de seguridad en Magento, asegurando compatibilidad con integraciones y personalizaciones.
Detectar oportunidades de automatización de tareas recurrentes.
Configurar herramientas de monitoreo y alertas para identificar problemas e interpretar sus resultados para actuar de forma preventiva.
Ser el punto de enlace técnico estratégico entre el equipo ecommerce y el partner de soporte.
Validar entregas técnicas de la agencia, asegurando que cumplan con los requisitos y plazos establecidos.
Ejecutar pruebas unitarias, de integración, rendimiento y seguridad antes de publicar cambios en producción.
Documentar hallazgos y proponer mejoras para prevenir incidencias futuras.
Administrar accesos y permisos de usuarios en la plataforma. Implementar buenas prácticas de seguridad para proteger datos e integraciones.
Mantener actualizada la documentación técnica de cambios, configuraciones y procedimientos de solución de problemas.
Generar guías internas para el equipo ecommerce que faciliten la resolución de incidencias menores sin intervención externa.
Planificar, coordinar y ejecutar los pases a producción de mejoras, correcciones y nuevas funcionalidades en Magento.
Validar en entorno de prueba (staging) que todos los cambios cumplan con los criterios técnicos y funcionales antes de su despliegue.
Asegura que las implementaciones no afecten la estabilidad del portal y que cuenten con respaldo (rollback plan) en caso de contingencias.
Requisitos:
Estudios culminados en Ingenieria de sistemas, informático o de software.
Experiencia minima de 5 años (Indispensable)
Certificación Adobe Commerce.
Certificación o experiencia comprobada en MAGENTO (frontend y backend). (Indispensable y excluyente)
Conocimientos de PHP/My SQL, JavcaScript, HTML5, CSS3, GIT
Experiencia comprobada en integraciones de sistemas y en la gestión de proyectos.
Ingles a nivel intermedio.",Magdalena del Mar,Híbrido
Analista de Programación RPG,"¡Somos Izipay! La red multimarca más grande del país, ¡estamos revolucionando el mercado de pagos! Con la meta de hacer crecer por x4 nuestro número de comercios atendidos, necesitamos reforzar nuestro equipo con personas como tú. ¡Ven a sumarte a este desafío como Analista de Programación
¿Cuáles serán tus responsabilidades?
Diseñar, programar, probar e implementar soluciones que optimicen los procesos del área.
Diagnosticar y corregir problemas en los sistemas existentes.
Identificar oportunidades de mejora en las aplicaciones y procesos actuales.
Generar y actualizar manuales, guías y diagramas de las soluciones implementadas.
Colaborar con equipos multidisciplinarios.
Requisitos:
¿Cómo saber que este puesto es para ti?
Universitario egresado de Ingeniero de Sistemas y carreras afines.
Conocimiento en herramientas de desarrollo: RPG (indipensable).
Conocimientos en COBOL (deseable) y AS400.
Conocimientos en SQL.
Conocimientos en lenguajes de programación Web: Visual Basic, JAVA, etc. (deseable) / Vision Plus (deseable).
Conocimientos en inglés técnico a nivel intermedio (deseable)
Conocimiento en Microsoft Office a nivel intermedio.",Miraflores,Híbrido
Desarrollador Full Stack / Surco / Presencial,"En Well Human Resources, estamos en la búsqueda de un/a Desarrollador/a Web Full Stack, con enfoque en backend, para una importante empresa con operaciones en los sectores de servicios y marketing digital.
Requisitos:
Estudios Universitarios culminado relacionados al puesto.
Experiencia de 2 años en desarrollo web Full Stack, con mayor dominio en backend.
Manejo de herramientas para integración de APIs (Postman).
Conocimientos o experiencia previa integrando plataformas como: Salesforce (SFC), Active Prospect, HubSpot (O herramientas similares de automatización y gestión de leads)
Conocimientos en WordPress para ajustes en sitios web o landing pages.
Deseable: Nivel intermedio de inglés (lectura técnica).
Capacidad para trabajar de forma autónoma y en equipos multidisciplinarios.
Funciones principales:
Desarrollo y mantenimiento de plataformas web internas y externas.
Implementación de integraciones API con herramientas de gestión y automatización.
Soporte técnico a las diferentes áreas respecto a las herramientas digitales utilizadas.
Colaboración con equipos de marketing, tecnología y operaciones para la mejora continua de los canales digitales.",Santiago de Surco,Presencial
Analista Programador Java,"Analista Programador Java
Resumen del Puesto
Estamos buscando un Analista Programador Java con experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes.
Responsabilidades
Diseñar, desarrollar y mantener aplicaciones utilizando Java.
Analizar los requisitos del sistema y diseñar soluciones eficientes.
Colaborar con otros desarrolladores y equipos para entregar productos de alta calidad.
Realizar pruebas y depuración de aplicaciones.
Documentar el código y los procesos de desarrollo.
Requisitos
Título en Ciencias de la Computación o campo relacionado.
Experiencia demostrable en programación Java.
Conocimiento de frameworks y herramientas de desarrollo Java.
Habilidad para trabajar en equipo y comunicarse eficazmente.
Disponibilidad para trabajar.",Lima,Presencial
Desarrollador(a) - Minería - Lurín,"Somos una empresa subsidiaria de la Corporación Marubeni, fundada en Japón en 1856, es una de las principales corporaciones a nivel mundial que cuenta con presencia efectiva en más de 65 países. En julio del 2011, Marubeni adquiere HCMA y se funda ZAMINE PERU.
Desde nuestros inicios somos distribuidores autorizados de HITACHI fabricante de Palas Hidráulicas y Camiones Eléctricos para minería. Asimismo, heredado de HCMA, contamos con experiencia de casi 22 años brindando servicios y suministros especializados, los cuales se diversificaron acorde a las necesidades de cada operación minera e industrial. Además, ofrecemos soluciones y productos para minería subterránea y de superficie a través de nuestra oferta de equipos y consumibles. En Zamine buscamos la mejora continua con el fin de cumplir con las expectativas de nuestros clientes, agilizando nuestros procesos y ofreciendo productos de reconocida calidad.
Nos encontramos en la búsqueda de 01 DESARROLLADOR PHP LARAVEL para el área de soporte de para nuestro centro de operaciones en Lurín.
MISIÓN DEL PUESTO:
Desarrollar y brindar soporte a los sistemas de información y aplicaciones móviles cumpliendo con los requerimientos de forma eficiente, aportando ideas innovadoras propiciando la mejora continua.
REQUISITOS:
Educación universitaria: Grado de Bachiller en Ingeniería de sistemas, Ingeniería de sistemas y computación o Ingeniería de software. y/o
Educación técnica: Educación técnica completa en Computación e informática o Ingeniería de software.
03 años de experiencia en programación de sistemas.
Experiencia en Back-end (PHP, Laravel, APIs y Servicios Web) y Front-end (HTML, CSS, JavaScript, Vue.js, React)
Experiencia en metodologías ágiles en SCRUM, Kanban y Agile.
Conocimientos en: en CI/CD (Integración y Despliegue Continuo), contenedores y orquestación (Docker, Kubernetes), Principios SOLID y Clean Code: Código legible, mantenible y escalable, Patrones de diseño (Singleton, Factory, Observer, Repository), React Native, Flutter y seguridad informática.
Disponibilidad para trabajar en Lurín, se cuenta con movilidad ida y retorno.
BENEFICIOS:
Planilla desde el primer día
Participación de Utilidades
Seguro Privado EPS cubierto al 100%
Movilidad de traslado al centro de operaciones.
INTERESADOS
Primero, aplicar a la vacante por este medio.
Luego, completar la siguiente encuesta (copia y pega en tu navegador): https://bit.ly/3ToMR2u
Tomar en cuenta las siguientes consideraciones generales:
Al aplicar al empleo, usted autoriza el uso de sus datos personales para fines de inherentes al proceso de selección, de conformidad a lo establecido en la Ley N° 29733: Ley de Protección de Datos Personales y su Reglamento: DS 03- 2013- JUS.
ZAMINE PERU promueve la igualdad de oportunidades y cuestiona cualquier forma de discriminación basada en sexo, edad, origen, raza, religión, discapacidad, orientación sexual o cualquier otra condición; caso contrario, repórtalo a reclutamiento(arroba)zamineperu(punto)com
El consultor o reclutador responsable del proceso de selección se contactará contigo a través de medios telefónicos y digitales, principalmente utilizaremos como buzón principal tu correo electrónico que proporcionaste al aplicar.
Ninguna persona a nombre de ZAMINE PERU puede solicitarte dinero para participar u obtener una ventaja en el proceso de selección; caso contrario, repórtalo a reclutamiento(arroba)zamineperu.com",Lurín,Presencial
Soporte Jr de Aplicaciones (Linux/PLSQL),"Somos una empresa de Soluciones Digitales y Servicios de TI con 30 años de experiencia en el mercado. Contamos con más de 8 mil colaboradores en Latinoamérica, Estados Unidos y Europa.
Te invitamos a ser parte de nuestro equipo ocupando el cargo de: Analista de Soporte de Aplicaciones
Requisitos indispensables:
Profesionales de Ingeniería de Sistemas, Informática, o carreras afines.
Conocimiento en programación PL SQL Oracle, .NET, Java, Shell scripts, unix/ linux
MS Office básico
Experiencia:
Más de 1 año de experiencia en desarrollo e implementación de aplicaciones
Atención en helpdesk
Sector de telecomunicaciones, banca / empresa de servicios masivos",La Victoria,Presencial
Desarrollador FrontEnd Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros.
Nos encontramos en búsqueda de un talento Desarrollador Frontend Senior para colaborar en modalidad híbrida con nuestro cliente del sector bancario en un proyecto de 3 meses con posibilidad de extensión.
Requisitos:
+4 años de experiencia en desarrollo Front End.
Experiencia sólida en Java + Angular 18 o 19.
Manejo y creación de componentes (conocimiento en Storybook es un plus).
Dominio de SASS.
Desarrollo de Single Page Applications (SPA).
Conocimiento en microfrontends.
Aplicación de arquitectura limpia en proyectos.
Uso avanzado de RxJS.",San Isidro,Híbrido
Programador,"Estamos en búsqueda de un Programador Full Stack para integrarse a nuestro equipo y participar en uno de nuestros próximos proyectos.
Lo que buscamos de ti
Principales responsabilidades:
Implementar interfaces dinámicas y atractivas con JavaScript e integraciones con APIs REST.
Construir y mantener el backend con Node.js y Express, incluyendo el manejo de colas y servicios en tiempo real mediante WebSockets.
Diseñar, optimizar y mantener SQL Server, con experiencia en consultas complejas, triggers y stored procedures.
Resolver problemas críticos en los procesos de despliegue y compilación para entornos web
Mejorar el rendimiento de las aplicaciones mediante la optimización de consultas SQL de alta complejidad.
Formación y experiencia
Egresado de Ingeniería de Sistemas, Computación o afines.
Experiencia mínima de 2 años en desarrollo de software.",Miraflores,Presencial
Analista de Imagenes Hospitalarias / Sistemas,"Grupo San Pablo te invita a unirte a su equipo, donde la excelencia, el compromiso y la tecnología de punta se combinan para ofrecer soluciones únicas. Si buscas un entorno dinámico y desafiante. ¡Esta es tu oportunidad de marcar la diferencia en la vida de las personas!
Hoy, queremos que seas parte de nuestro grupo. Buscamos un Analista de Imagenes Hospitalarias/ Sistemas para sumarse al Grupo San Pablo y seguir brindando la mejor atención a nuestros pacientes.
REQUISITOS:
Egresado o Bachiller de las carreras de Ingeniería de Sistemas, Ing.Biomedica, Tecnologo medico o afines
Experiencia minima de 1 año en puestos afines
Conocimiento del protocolo HL7 y DICOM (deseable)
Experiencia en el sector salud obligatorio.
HORARIO:
Lunes a Viernes de (8:00 am a 6.30 pm) y Sabados (8:00am a 1.30 pm)
FUNCIONES
Programar y mantener actualizado el Plan de trabajo.
Gestionar la obtención y disponibilidad de todos los aspectos fiduciarios (presupuesto, adquisiciones y administrativos) que sean requeridos.
Supervisar el grupo de trabajo de Digitalización de Imágenes Médicas.
Coordinar con las áreas de Logística, Sistemas y Mantenimiento los pedidos de requerimientos que impactan en el desarrollo del proyecto.
Otras funciones vinculadas al área que su jefe indique.
BENEFICIOS:
Sueldo acorde al mercado.
Planilla desde el primer día con todos los beneficios de ley. (Regimen General)
Descuentos corporativos",Santiago de Surco,Presencial
Analista Programador - Sede ATE,"¡Buscamos a nuestro próximo/a Analista Programador!
¿Te apasiona el desarrollo web y quieres crecer en un equipo innovador? ¡Esta oportunidad es para ti!
✅ Lo que harás:
· Analizar, diseñar e implementar aplicaciones web alineadas a las necesidades del negocio.
· Documentar de forma clara las soluciones implementadas.
· Trabajar en equipo con otros programadores para desplegar y respaldar código.
· Detectar y resolver errores en aplicaciones existentes.
· Aportar ideas a iniciativas de mejora continua del área TI.
✅ Lo que buscamos:
· Egresado/a o bachiller en Ingeniería de Sistemas, Informática, Software o afines.
· Experiencia mínima de 2 años en desarrollo web full stack.
· Dominio de Python y React.
· Manejo de bases de datos relacionales: SQL Server, MySQL u otros.
✅ Lo que ofrecemos:
· Ingreso a planilla desde el primer día (todos los beneficios de ley).
· EPS de libre afiliación.
· Capacitaciones constantes para que sigas creciendo.",Ate,Presencial
